loss,accuracy,val_loss,val_accuracy
0.29659581184387207,0.9167166948318481,0.1550310254096985,0.9535999894142151
0.13235992193222046,0.9617666602134705,0.10989697277545929,0.9653000235557556
0.09315087646245956,0.9726333618164062,0.10236679762601852,0.9678000211715698
0.07183552533388138,0.9783499836921692,0.08816266804933548,0.972000002861023
0.05757053941488266,0.9833499789237976,0.08083152770996094,0.9743000268936157
0.045625779777765274,0.986549973487854,0.07717326283454895,0.975600004196167
0.03769505023956299,0.9888333082199097,0.07779304683208466,0.9746999740600586
0.029671119526028633,0.9910666942596436,0.07405738532543182,0.9764999747276306
0.025095587596297264,0.992983341217041,0.07451857626438141,0.9767000079154968
0.020682889968156815,0.9939333200454712,0.08237183839082718,0.9757000207901001
