round,loss,accuracy,num_clients
1,0.6298880577087402,0.8920999765396118,2
2,0.774909496307373,0.8819000124931335,2
3,0.6357089281082153,0.9010000228881836,2
4,0.7818794846534729,0.8805999755859375,2
5,0.6706169843673706,0.9045000076293945,2
6,0.6995189189910889,0.895799994468689,2
7,0.7462105751037598,0.8871999979019165,2
8,0.7542786598205566,0.8884999752044678,2
9,0.6460675597190857,0.906499981880188,2
10,0.6915205717086792,0.9017000198364258,2
11,0.5716213583946228,0.9151999950408936,2
12,0.5650129318237305,0.916700005531311,2
13,0.711142361164093,0.8978999853134155,2
14,0.719539225101471,0.8949999809265137,2
15,0.6548619270324707,0.9043999910354614,2
16,0.6699976325035095,0.9016000032424927,2
17,0.63423752784729,0.9081000089645386,2
18,0.632102906703949,0.9064000248908997,2
19,0.6309502720832825,0.9054999947547913,2
20,0.6198529005050659,0.9075999855995178,2
21,0.6127027273178101,0.9046000242233276,2
22,0.6501752734184265,0.9003000259399414,2
23,0.6265972852706909,0.9039999842643738,2
24,0.6157547831535339,0.9042999744415283,2
25,0.6073004603385925,0.9057000279426575,2
