round,loss,accuracy,num_clients
1,0.5181256532669067,0.9057999849319458,2
2,0.5534529089927673,0.9070000052452087,2
3,0.5051417350769043,0.9169999957084656,2
4,0.5074631571769714,0.9196000099182129,2
5,0.6273892521858215,0.8998000025749207,2
6,0.5910328030586243,0.9050999879837036,2
7,0.5291998982429504,0.9160000085830688,2
8,0.5602524280548096,0.9196000099182129,2
9,0.5120108127593994,0.9207000136375427,2
10,0.6280190348625183,0.9016000032424927,2
11,0.5236398577690125,0.9207000136375427,2
12,0.5287908315658569,0.9150999784469604,2
13,0.6740176677703857,0.8917999863624573,2
14,0.4880807101726532,0.9215999841690063,2
15,0.5219717621803284,0.9150999784469604,2
16,0.513519823551178,0.9218999743461609,2
17,0.5571516752243042,0.9139000177383423,2
18,0.540248453617096,0.9132000207901001,2
19,0.5120911598205566,0.9168999791145325,2
20,0.5213350057601929,0.9157999753952026,2
21,0.6299216151237488,0.8981000185012817,2
22,0.5003896951675415,0.9175000190734863,2
23,0.4964068830013275,0.9168999791145325,2
24,0.4897502064704895,0.920799970626831,2
25,0.4784618020057678,0.916100025177002,2
