round,loss,accuracy,num_clients
1,0.47987544536590576,0.9169999957084656,2
2,0.5278316736221313,0.9154999852180481,2
3,0.6239071488380432,0.9036999940872192,2
4,0.583040177822113,0.9125000238418579,2
5,0.5635350942611694,0.9140999913215637,2
6,0.7142385840415955,0.8932999968528748,2
7,0.5791195631027222,0.9144999980926514,2
8,0.6016409397125244,0.9072999954223633,2
9,0.6065815091133118,0.9079999923706055,2
10,0.5193189978599548,0.9239000082015991,2
11,0.5821861028671265,0.9125999808311462,2
12,0.5741767883300781,0.9147999882698059,2
13,0.5644456744194031,0.916700005531311,2
14,0.573085367679596,0.9132999777793884,2
15,0.5470496416091919,0.9200000166893005,2
16,0.5355072021484375,0.9218999743461609,2
17,0.5391352772712708,0.9182999730110168,2
18,0.5777215957641602,0.9132000207901001,2
19,0.7456965446472168,0.8815000057220459,2
20,0.5699574947357178,0.9097999930381775,2
21,0.5562737584114075,0.9118000268936157,2
22,0.6135877370834351,0.910099983215332,2
23,0.5893978476524353,0.9075999855995178,2
24,0.5372503995895386,0.9136000275611877,2
25,0.5642397999763489,0.9121999740600586,2
26,0.5331113338470459,0.9135000109672546,2
27,0.536020815372467,0.9129999876022339,2
28,0.6217816472053528,0.8989999890327454,2
29,0.5123478770256042,0.9165999889373779,2
30,0.513992428779602,0.9121000170707703,2
31,0.49450308084487915,0.9171000123023987,2
32,0.47704029083251953,0.9222999811172485,2
33,0.49748480319976807,0.9132999777793884,2
34,0.5698785185813904,0.899399995803833,2
35,0.4457519054412842,0.9204000234603882,2
36,0.484756201505661,0.9146999716758728,2
37,0.49463212490081787,0.9129999876022339,2
38,0.45141029357910156,0.9168000221252441,2
39,0.46390947699546814,0.913100004196167,2
40,0.4617566764354706,0.9164000153541565,2
41,0.45650389790534973,0.9161999821662903,2
42,0.4827229976654053,0.9085000157356262,2
43,0.49083539843559265,0.9052000045776367,2
44,0.4311811625957489,0.9162999987602234,2
45,0.4284452199935913,0.9165999889373779,2
46,0.4550739824771881,0.9146000146865845,2
47,0.45627257227897644,0.9100000262260437,2
48,0.4374794065952301,0.9125000238418579,2
49,0.40442347526550293,0.9211999773979187,2
50,0.4055982530117035,0.9189000129699707,2
