round,loss,accuracy,num_clients
1,0.464108943939209,0.91839998960495,2
2,0.5049751996994019,0.9199000000953674,2
3,0.6134637594223022,0.9078999757766724,2
4,0.515359103679657,0.9168000221252441,2
5,0.5988512635231018,0.9035000205039978,2
6,0.5229189991950989,0.9204000234603882,2
7,0.5658379197120667,0.9132000207901001,2
8,0.5687907934188843,0.9103000164031982,2
9,0.5135162472724915,0.9207000136375427,2
10,0.5115246772766113,0.9218999743461609,2
11,0.545606255531311,0.9194999933242798,2
12,0.5448286533355713,0.9135000109672546,2
13,0.5180387496948242,0.9182999730110168,2
14,0.6539405584335327,0.8938000202178955,2
15,0.5614928603172302,0.9146999716758728,2
