round,loss,accuracy,num_clients
1,35.552330017089844,0.10100000351667404,2
2,7.26221227645874,0.49459999799728394,2
3,7.262694358825684,0.4560999870300293,2
4,2.9174561500549316,0.7649999856948853,2
5,2.292983293533325,0.7932000160217285,2
6,3.151129722595215,0.7246000170707703,2
7,3.1337883472442627,0.6657999753952026,2
8,2.726161479949951,0.6913999915122986,2
9,2.1509299278259277,0.7254999876022339,2
10,1.76432204246521,0.7516999840736389,2
11,1.5921286344528198,0.7688999772071838,2
12,1.4916608333587646,0.7752000093460083,2
13,1.3263866901397705,0.7889999747276306,2
14,0.9333913922309875,0.8416000008583069,2
15,0.7228654026985168,0.8687000274658203,2
16,0.7904375791549683,0.8605999946594238,2
17,0.7971959114074707,0.8616999983787537,2
18,0.7798471450805664,0.8561000227928162,2
19,0.7872143387794495,0.8560000061988831,2
20,1.0302116870880127,0.8184999823570251,2
21,0.9143179655075073,0.8357999920845032,2
22,0.7673635482788086,0.8565000295639038,2
23,0.6860157251358032,0.8708999752998352,2
24,0.6762734651565552,0.8697999715805054,2
25,0.6366438269615173,0.8823999762535095,2
26,0.6343535780906677,0.8820000290870667,2
27,0.6608467698097229,0.8715000152587891,2
28,0.6661105155944824,0.8672000169754028,2
29,0.640357255935669,0.8697999715805054,2
30,0.705814778804779,0.8597999811172485,2
31,0.6973475217819214,0.86080002784729,2
32,0.6870112419128418,0.8586000204086304,2
33,1.3325095176696777,0.8080999851226807,2
34,1.164542317390442,0.8169000148773193,2
35,0.9130319356918335,0.8199999928474426,2
36,0.7675235271453857,0.8475000262260437,2
37,0.6410488486289978,0.8686000108718872,2
38,0.6135860085487366,0.8709999918937683,2
39,0.6175421476364136,0.8690000176429749,2
40,0.532174289226532,0.8899000287055969,2
41,0.5201876163482666,0.89410001039505,2
42,0.7121837139129639,0.852400004863739,2
43,0.615054726600647,0.8694999814033508,2
44,0.5395020246505737,0.8855000138282776,2
45,0.48755943775177,0.8978999853134155,2
46,0.6786311268806458,0.8550999760627747,2
47,0.536546528339386,0.8859000205993652,2
48,0.5788449645042419,0.8776999711990356,2
49,0.6101610660552979,0.8666999936103821,2
50,0.6435256004333496,0.861299991607666,2
51,0.7488324046134949,0.8375999927520752,2
52,0.6130712628364563,0.8666999936103821,2
53,0.5501434206962585,0.8799999952316284,2
54,0.5911806225776672,0.8661999702453613,2
55,0.7213996052742004,0.8396999835968018,2
56,0.7324122190475464,0.8363999724388123,2
57,0.5542073249816895,0.8763999938964844,2
58,0.5675389170646667,0.8780999779701233,2
59,0.5253286361694336,0.8849999904632568,2
60,0.5616132616996765,0.8770999908447266,2
61,0.656224250793457,0.858299970626831,2
62,0.7720444202423096,0.8306999802589417,2
63,0.5084436535835266,0.8881999850273132,2
64,0.532304048538208,0.8819000124931335,2
65,0.5075064301490784,0.8878999948501587,2
66,0.8053954243659973,0.8264999985694885,2
67,0.5593665242195129,0.8766000270843506,2
68,0.4874986410140991,0.890999972820282,2
69,0.5027258992195129,0.8901000022888184,2
70,0.5155983567237854,0.8859999775886536,2
71,0.5198903679847717,0.885200023651123,2
72,0.5447362065315247,0.878000020980835,2
73,0.44369077682495117,0.9009000062942505,2
74,0.48437440395355225,0.8931999802589417,2
75,0.4172937572002411,0.9085999727249146,2
76,0.4569548964500427,0.8982999920845032,2
77,0.43942368030548096,0.902400016784668,2
78,0.43051275610923767,0.9057999849319458,2
79,0.8503075242042542,0.8158000111579895,2
80,0.7961042523384094,0.8227999806404114,2
81,0.5537028908729553,0.8707000017166138,2
82,0.5494058132171631,0.8722000122070312,2
83,0.605341374874115,0.86080002784729,2
84,0.5398380756378174,0.8765000104904175,2
85,0.4166165888309479,0.9085999727249146,2
86,0.49059349298477173,0.8912000060081482,2
87,0.5123612284660339,0.8844000101089478,2
88,0.4747077226638794,0.8964999914169312,2
89,0.449474573135376,0.9020000100135803,2
90,0.4995458424091339,0.8891000151634216,2
91,0.4651932716369629,0.895799994468689,2
92,0.46434393525123596,0.8967999815940857,2
93,0.43592315912246704,0.9042999744415283,2
94,0.426652729511261,0.9078999757766724,2
95,0.42560631036758423,0.9075999855995178,2
96,0.4729471802711487,0.8938999772071838,2
97,0.5115583539009094,0.8884000182151794,2
98,0.5004373788833618,0.8840000033378601,2
99,0.505328893661499,0.8849999904632568,2
100,0.44114673137664795,0.9017000198364258,2
