round,loss,accuracy,num_clients
1,0.08689714223146439,0.9739000201225281,2
2,0.07758242636919022,0.9793999791145325,2
3,0.08349724858999252,0.978600025177002,2
4,0.08323273062705994,0.9811999797821045,2
5,0.08702915906906128,0.98089998960495,2
6,0.08990200608968735,0.98089998960495,2
7,0.09496405720710754,0.9812999963760376,2
8,0.09440445899963379,0.9815000295639038,2
9,0.09798970073461533,0.9817000031471252,2
10,0.10565267503261566,0.982200026512146,2
11,0.10616027563810349,0.9817000031471252,2
12,0.10802964866161346,0.9829999804496765,2
13,0.1097237691283226,0.9824000000953674,2
14,0.11371222138404846,0.9815000295639038,2
15,0.12130320817232132,0.9801999926567078,2
16,0.11918500810861588,0.9818999767303467,2
17,0.1163792759180069,0.9824000000953674,2
18,0.121494360268116,0.9815000295639038,2
19,0.12538690865039825,0.9818999767303467,2
20,0.12813277542591095,0.9818000197410583,2
